hour,is_peak,elec,solar
2,0,1.5606,0
3,0,1.4175,0
4,0,1.8938,0
5,0,2.9613,0
6,0,5.49945,0
7,0,6.2964,0
8,0,7.87745,0
9,0,9.3674,0.02744157
10,0,9.40065,0.135121035
11,0,9.43185,0.28130217
12,0,9.5278,0.43530884849999996
13,0,9.6384,0.502504174
14,0,9.33425,0.513042571
15,1,9.1666,0.481323039
16,1,6.52455,0.39138146900000004
17,1,6.95205,0.241861436
18,1,6.3388,0.07721202
19,1,5.49655,0.001252087
20,0,5.35955,0
21,0,4.3513,0
22,0,2.94905,0
23,0,1.90425,0
0,0,1.348,0
1,0,1.49595,0
2,0,1.3629,0
3,0,1.42655,0
4,0,2.38595,0
5,0,3.0508,0
6,0,5.09955,0
7,0,6.1169,0
8,0,8.2111,0
9,0,8.87805,0.017320534
10,0,9.6183,0.131677796
11,0,9.43095,0.303944073
12,0,9.3006,0.441986644
13,0,9.86425,0.508242905
14,0,9.33355,0.517633556
15,1,9.1422,0.493217863
16,1,6.5246,0.4043197
17,1,6.9554,0.24979131875000002
18,1,6.3362,0.081385643
19,1,5.50155,0.000626044
20,0,5.17395,0
21,0,4.89595,0
22,0,2.8538,0
23,0,1.7422,0
0,0,1.5842,0
1,0,1.29905,0
2,0,1.693,0
3,0,1.5762,0
4,0,1.8867,0
5,0,3.2054,0
6,0,5.0629,0
7,0,6.49515,0
8,0,7.68415,0
9,0,8.96585,0.015964107
10,0,8.8935,0.131364775
11,0,8.7464,0.29977045075000003
12,0,9.14065,0.441673623
13,0,8.9667,0.507616861
14,0,9.22725,0.515025042
15,1,8.80735,0.484453256
16,1,7.02345,0.392424875
17,1,6.7868,0.24749582650000002
18,1,6.47685,0.080342237
19,1,6.16535,0.000626044
20,0,5.8366,0
21,0,4.96055,0
22,0,3.00795,0
23,0,1.84015,0
0,0,1.36645,0
1,0,1.5209,0
2,0,1.6238,0.000313022
3,0,1.72075,0
4,0,2.11445,0
5,0,3.1983,0
6,0,5.33455,0
7,0,6.5187,0
8,0,7.87745,0.000313022
9,0,9.3718,0.018781303
10,0,9.52635,0.128756261
11,0,9.075,0.29142320499999996
12,0,9.7545,0.43885642724999996
13,0,9.2274,0.5149207010000001
14,0,9.7447,0.5324499165000001
15,1,8.92075,0.492904842
16,1,6.96355,0.395659432
17,1,6.55825,0.25177379
18,1,6.33905,0.083889817
19,1,5.4983,0.001043406
20,0,5.14005,0
21,0,4.3509,0
22,0,3.16925,0.000626044
23,0,1.9048,0.000626044
0,0,1.35505,0
1,0,1.28945,0
2,0,1.36095,0
3,0,1.88405,0
4,0,2.16275,0
5,0,3.0099,0
6,0,5.08635,0
7,0,6.34855,0
8,0,8.2252,0
9,0,9.36375,0.039336394250000004
10,0,9.21815,0.143050918
11,0,9.73285,0.298831386
12,0,9.36225,0.449290484
13,0,9.7121,0.523059265
14,0,9.8885,0.546222871
15,1,8.8107,0.5006260435000001
16,1,6.9205,0.41725792975000003
17,1,7.06955,0.270763773
18,1,6.81205,0.092550083
19,1,5.78165,0.001147746
20,0,5.17395,0
21,0,4.3845,0
22,0,3.20045,0
23,0,1.7308,0
0,0,1.8188,0
1,0,1.48285,0
2,0,1.1602,0
3,0,1.12165,0
4,0,1.43185,0
5,0,1.72055,0
6,0,2.30645,0
7,0,3.1591,0
8,0,4.96555,0.000417362
9,0,8.1815,0.017946578
10,0,8.8442,0.141694491
11,0,9.0209,0.315525877
12,0,9.2053,0.456907346
13,0,9.07575,0.527337229
14,0,9.50715,0.542779633
15,1,9.5196,0.50907763
16,1,9.32375,0.418301336
17,1,10.27975,0.271494157
18,1,10.33435,0.094428214
19,1,9.9804,0.001252087
20,0,9.76385,0
21,0,6.4597,0
22,0,4.64805,0
23,0,3.0194,0
0,0,2.37915,0.000313022
1,0,1.54705,0
2,0,1.2294,0
3,0,1.3425,0
4,0,1.36635,0
5,0,1.35995,0
6,0,1.7606,0
7,0,1.2866,0
8,0,2.09395,0.000626044
9,0,4.1741,0.017007512250000002
10,0,5.4246,0.143050918
11,0,8.6707,0.313126044
12,0,9.3941,0.45033389
13,0,8.91705,0.51659015
14,0,9.5224,0.534119366
15,1,8.9261,0.455759599
16,1,9.63935,0.286414858
17,1,9.61665,0.15181552599999998
18,1,9.8666,0.087541736
19,1,7.3925,0.00730384
20,0,6.88815,0
21,0,5.7755,0
22,0,4.825,0
23,0,3.45305,0
0,0,1.55785,0
1,0,1.2649,0
2,0,1.3426,0
3,0,1.6316,0
4,0,1.95725,0
5,0,3.037,0
6,0,5.03435,0
7,0,6.07525,0
8,0,8.55075,0.000521703
9,0,8.9019,0.016277128499999998
10,0,9.4117,0.138772955
11,0,9.65885,0.315525877
12,0,9.2174,0.45690734525000004
13,0,9.7219,0.51471202
14,0,9.33365,0.536414858
15,1,9.14245,0.5077212019999999
16,1,6.52455,0.41652754574999995
17,1,6.78135,0.272120201
18,1,6.3394,0.098080134
19,1,5.7278,0.001043406
20,0,5.1545,0
21,0,4.58545,0
22,0,2.7327,0
23,0,1.89965,0
0,0,1.57,0
1,0,1.27195,0
2,0,1.36355,0
3,0,1.6391,0
4,0,1.8528,0
5,0,3.17725,0
6,0,5.07,0
7,0,6.1883,0
8,0,8.1942,0.000521703
9,0,8.8996,0.015964106999999998
10,0,9.39045,0.137729549
11,0,9.65825,0.312291319
12,0,9.30015,0.449186144
13,0,9.63775,0.518259599
14,0,9.33445,0.53672788
15,1,9.1407,0.504695326
16,1,6.7488,0.41131051750000003
17,1,6.55805,0.270763773
18,1,6.11715,0.098914858
19,1,5.8707,0.001147746
20,0,5.4556,0
21,0,4.4553,0
22,0,2.85845,0
23,0,1.74005,0
0,0,1.3678,0
1,0,1.95745,0
2,0,1.3817,0
3,0,1.42665,0
4,0,1.8298,0
5,0,2.86425,0
6,0,5.292,0
7,0,6.27115,0
8,0,7.68415,0.000834725
9,0,8.9652,0.018885643
10,0,9.1215,0.138355593
