net_load,renewables,renewables_to_load_ratio,load.load
17532.16667,6944.833333,0.330992692,20988.58333
19339.25,7217.833333,0.318574957,22660
20078.08333,7874.25,0.330739571,23803.08333
17394.25,11009.33333,0.454479374,24214.25
13100.5,14657.33333,0.614716521,23859.91667
11107.5,15753.66667,0.683320192,23056.91667
10548.58333,15428.75,0.690632001,22339.25
10405.25,15411.66667,0.693647202,22218.91667
11565.66667,14423.41667,0.64399952,22402.25
13407.5,13190.5,0.573602603,23005.41667
16595.83333,11130.66667,0.46364496,24033.08333
20578,8907.416667,0.352223006,25337.75
23862.83333,8096.083333,0.293932777,27561
24266.58333,7910.833333,0.283957679,27857.25
23565.25,8286.5,0.303830459,27275.75
23015.41667,8210.833333,0.30776756,26674.83333
22080.83333,8068.166667,0.313105159,25769.66667
20886.33333,7559.166667,0.312675964,24188.91667
18865.66667,7693.5,0.340636419,22591.41667
17385.58333,7624.166667,0.353396058,21574.25
16369.58333,7539.083333,0.362937515,20774.33333
16314.33333,7122.583333,0.349861995,20357.33333
16805.83333,6732.416667,0.330700144,20358.08333
17375.66667,6621.333333,0.318360755,20803.58333
19070.66667,7016.75,0.314706817,22303
21436.16667,7421.75,0.299653136,24782.83333
21498.41667,9186.833333,0.346797164,26487.83333
16043,13820.08333,0.539255043,25661.5
11715.16667,16199.16667,0.672628401,24104.25
9734.416667,16412.25,0.731844913,22432.91667
8718.333333,15967.16667,0.751881332,21236.41667
8397.666667,15452.83333,0.748264559,20651.66667
8693.833333,15053.5,0.731059699,20591.41667
9326.333333,14799.33333,0.706019739,20964.25
12616,13018.25,0.588405755,22179.08333
19574.83333,8866.25,0.365110078,24395.58333
23658.08333,7693.666667,0.283495545,27156.25
24400,7778.916667,0.278044237,27977.41667
23910.66667,7868.833333,0.284529231,27657.16667
23080.08333,8166.333333,0.300617923,27166.83333
22523.66667,7604,0.288400609,26360.83333
21389,6792.333333,0.274286245,24765.5
20216.16667,6222.833333,0.26831156,23185.08333
20098.25,5048.083333,0.227083559,22222.08333
19449.75,4905.75,0.228229471,21497.83333
19186.33333,4604,0.218589201,21060.41667
19340.16667,4458.25,0.212044627,21025.08333
19884.91667,4511.916667,0.209965463,21493.75
21426.41667,4940.583333,0.215487162,22926.08333
23919.41667,5319.666667,0.209602455,25396
23842.41667,7128.333333,0.263276232,27085.16667
17408.33333,11816.33333,0.458071028,25865.83333
12644.41667,14342.41667,0.604146246,23768.16667
10375.5,14695.08333,0.671427602,21896.66667
9346.333333,14302.08333,0.695702417,20557.08333
9272.75,13941.75,0.692667181,20127.91667
9966.666667,13616,0.664922128,20482.58333
11866.25,12661.5,0.591195698,21427.33333
15201.75,10887.5,0.477939351,22827.41667
21414.75,6962.75,0.28144306,24886.41667
25793,5391,0.197702879,27274.5
26677.08333,5293.083333,0.189946435,27866.08333
26290.33333,5352.333333,0.194311511,27546
25630.91667,5529.5,0.204568086,27033.16667
24690.66667,5502.75,0.210333821,26163.16667
22926.16667,5238.583333,0.213496066,24535.33333
21318.16667,4959.833333,0.216253464,22935.66667
20232.5,4720.583333,0.214417363,22017.08333
19302.83333,4732.5,0.223556607,21170.5
18898.83333,4830.416667,0.231710207,20846
18830.75,4972.25,0.237690588,20918.75
19330.25,5083.833333,0.236599325,21488.58333
20797.75,5223.166667,0.227893352,22925.16667
23154.58333,5740.583333,0.226647908,25350.08333
23325.91667,7388.333333,0.275093158,26861.41667
18236.33333,11337.16667,0.435422242,26070.41667
14549,13181.66667,0.538581394,24494.58333
12730.08333,13227.16667,0.577924168,22891.83333
12200.83333,12526.58333,0.57773852,21686.25
11161.41667,12851.83333,0.612824521,20972.83333
11200.91667,12868.75,0.611879196,21031.75
12107.75,12738.58333,0.584762561,21796.16667
15419.33333,11259.91667,0.483214434,23355.5
20923.33333,8086.166667,0.318997243,25429.08333
24457.58333,7119,0.257340104,27685.5
24866.83333,7518.333333,0.265969965,28270.5
24264.08333,7813.5,0.280209761,27883.83333
24114.75,7270.416667,0.267267639,27200.33333
23660.66667,6443.333333,0.245075649,26292.08333
21915.83333,6165.166667,0.249641727,24701.66667
20573.33333,5660.5,0.24514617,23088.33333
19783.33333,5347.583333,0.240312099,22253
19407.08333,4970.75,0.229943365,21616.16667
19211.58333,4909.833333,0.231265538,21230.58333
19129.83333,4828.583333,0.229097906,21076.5
19646.58333,4902.25,0.22749589,21551.66667
21193.75,4790.25,0.209069453,22928
23722.58333,4989,0.196952357,25344.66667
23878.33333,6563.083333,0.243524879,26951.08333
17430.16667,11940,0.463567758,25836.66667
12242.91667,14657.33333,0.614915705,23867
9557.666667,15132.41667,0.695310882,21775
8249.166667,14784.66667,0.728757018,20289.83333
7632.916667,14321.16667,0.732073762,19563.66667
7650.583333,14204.08333,0.728985624,19486.58333
8839.166667,13804.25,0.691230927,19980.75
12107.91667,12580.33333,0.58529486,21550.33333
19835.75,7619.416667,0.322361406,23814.16667
24954.75,5435.166667,0.206052677,26388.33333
25879.08333,5216.333333,0.192156516,27145.58333
25360.83333,5521.583333,0.205499722,26870.91667
24979.16667,5658.333333,0.213788111,26467.66667
24619.08333,5056.25,0.19508842,25909.83333
23541.66667,4433.416667,0.178754742,24802.5
22028.5,4480.5,0.19096767,23467
21069.08333,4004.166667,0.177828109,22517.41667
20144.91667,4088.5,0.187901776,21761.75
19575,4142.166667,0.195298743,21210.16667
19413.41667,4234.75,0.202159218,20947.58333
19634,4246.5,0.201333633,21093
20423.25,4276.5,0.196871374,21720
21414.5,4971.083333,0.2180418,22790.08333
20143.75,6855.083333,0.291407809,23528.33333
13429.83333,11816.16667,0.524051817,22614.25
8995.916667,14044.58333,0.678687207,20718.5
7086.5,14115.25,0.74948939,18832.08333
6476,13333.66667,0.765943732,17411.08333
5992.583333,12634.91667,0.759105216,16642.25
6731.833333,11811.58333,0.712182851,16587
8173.833333,11261.25,0.647195736,17413.08333
10411.41667,11280.08333,0.589875711,19173.91667
17847.08333,7171,0.334334745,21663.41667
23427,4723.916667,0.19287877,24521.33333
24317.58333,5025.416667,0.197162031,25488.75
